ITLN2	NACC1
ITLN1	NACC1
ITLN1	ITLN2
ECHDC1	HSPA1B
ECHDC1	STIP1
ECHDC1	HSPA1A
CCDC117	HSPA1B
CCDC117	STIP1
CCDC117	HSPA1A
CCDC117	ECHDC1
CRACR2A	MCPH1
NARF	PHKG2
NARF	PHKB
NARF	PHKA2
NARF	PHKA1
MIPOL1	NINL
LRRC39	NINL
LRRC39	MIPOL1
C15orf39	RREB1
C15orf39	LCORL
C15orf39	CTBP1
KRT1	KRT2
PDE3A	TUBB6
PDE3A	TUBA1C
PDE3A	TIMM50
MAP7D1	TUBB6
MAP7D1	TUBA1C
MAP7D1	TIMM50
MAP7D1	PDE3A
BCAS3	BNIP3L
BCAS3	WIPI2
BCAS3	PHAF1
EXD2	GRAMD2B
EXD2	GRAMD1B
POLR2J2	PRB1
PIGR	PRB1
PIGR	POLR2J2
H2BC8	RPS28
H2BC8	MKI67
H2BC8	LARP4B
H2BC8	SCAF1
H2BC8	NPM1
H2BC8	MUS81
H2BC8	MTPAP
MTPAP	SRR
MTPAP	POLD3
MTPAP	RPS28
MTPAP	SCAF1
MTPAP	NPM1
MTPAP	MUS81
H2BC5	RPS28
H2BC5	MKI67
H2BC5	LARP4B
H2BC5	SCAF1
H2BC5	NPM1
H2BC5	MUS81
H2BC5	MTPAP
H2AZ2	RPS28
H2AZ2	MKI67
H2AZ2	LARP4B
H2AZ2	H2BC21
H2AZ2	H2BC8
H2AZ2	SCAF1
H2AZ2	NPM1
H2AZ2	MUS81
H2AZ2	MTPAP
H2AZ2	H2BC5
CRNN	SPRR3
C3orf33	TARBP1
C3orf33	GNPAT
C3orf33	FASTKD5
C3orf33	DDC
NACA	UGGT1
PCBP2	RAD54L2
PCBP3	TIAL1
PCBP3	TIA1
PCBP3	TAGLN
PCBP3	RBP1
PCBP3	PPIAL4D
HMGCL	TIAL1
HMGCL	TIA1
HMGCL	TAGLN
HMGCL	RBP1
HMGCL	PPIAL4D
HMGCL	PCBP3
HMGCL	ISOC1
ARHGDIA	TIAL1
ARHGDIA	TIA1
ARHGDIA	TAGLN
ARHGDIA	RBP1
ARHGDIA	PPIAL4D
ARHGDIA	PCBP3
ARHGDIA	ISOC1
ARHGDIA	HMGCL
ARHGDIA	GSTP1
ARHGDIA	GNPNAT1
ARHGDIA	GGA2
TTC30A	TTC30B
MYO6	PHLDB2
MYO6	STON2
MYO6	SNX29
MYO6	REXO1
MYO6	REPS2
MYO6	REPS1
MYO6	RALBP1
MYO6	PIK3C2A
MYO6	NUMB
NUDT2	TXNDC12
NUDT2	TXN2
NUDT2	STAT1
NEK6	NEK7
CCDC9B	ZC3H11A
CCDC9B	THOC7
CCDC9B	THOC6
CCDC9B	THOC5
CCDC9B	THOC3
CCDC9B	THOC1
CCDC9B	POLDIP3
CCDC9B	NCBP3
CCDC9B	CHTOP
RAI1	TCF20
PHF14	TCF20
PHF14	RAI1
SLC30A5	SLC30A7
SLC30A5	SLC30A6
ALG3	TSGA10IP
ACTR3C	TEN1
ACTR3C	STN1
ACTR3C	CTC1
GOLGA5	VKORC1
GOLGA5	KCNK1
ABCC1	VKORC1
ABCC1	KCNK1
ABCC1	GOLGA5
ABCC1	CXCR4
SLIT2	UGGT2
SLIT2	TXNDC16
SLIT2	TMEM132A
CCDC88A	KAT7
CCDC88A	JADE2
CCDC88A	ING5
CYRIB	RAC1
CYRIA	CYRIB
MTMR1	TRIM44
MTMR1	TRIM35
MTMR1	TRIM10
CLIC2	CLIC5
PAICS	VWA8
GART	VWA8
GART	PAICS
NAPRT	UGDH
NAPRT	UGP2
DRICH1	ZNF852
CYHR1	DNAJB2
IBTK	RPP25L
IBTK	POP7
GPANK1	TTC19
C9orf64	POLL
CCDC102A	CCDC102B
LYRM7	OXSM
LYRM7	NDUFAB1
MINPP1	SEC23A
IVD	SEC23A
IVD	MINPP1
DNAJC5	PTGFR
COQ3	COQ6
H3C15	TFB1M
H3C15	SRP19
H3C15	PRRC2C
H3C15	SRP72
H3C15	SPATS2L
H3C15	MRM3
CEP95	LTBR
EPB41L2	SPOCK1
EPB41L2	NHSL1
EPB41L2	GTF2E2
EPB41L2	GTF2E1
LMCD1	SERPINB1
LMCD1	PGAM1
KCNK1	VKORC1
CERS2	CERS6
CERS2	KCNK1
CLEC5A	TMBIM6
CD276	TMBIM6
CD276	CLEC5A
PRPF40B	SLC30A4
PRPF40B	RBM25
PRPF40B	UTP14C
GPHA2	GPT2
HOXA10	RPS6KA5
HOXA10	RHBDF1
HOXA10	MKNK1
HOXA10	MEF2D
HOXA10	KIF22
HOXA10	HOXC9
HOXA10	HOXB9
HOXA10	HOXB6
HOXA10	MKNK2
HOXA10	MAPKAPK2
HOXA10	MAPK14
U2AF1L4	U2AF2
SERPINE1	U2AF2
SERPINE1	U2AF1L4
SAP30BP	U2AF2
SAP30BP	U2AF1L4
SAP30BP	SERPINE1
BCAP31	SFT2D2
BCAP31	RABAC1
BCAP31	PTGES
BCAP31	GOLT1B
BCAP31	ENDOD1
C1orf21	TBC1D24
C1orf21	CSNK1G1
C1orf21	TMEM185B
C1orf21	TMEM185A
MTFR1L	OLFM4
SLC30A6	SLC30A7
SLC30A6	USO1
BLZF1	USO1
BLZF1	SLC30A6
BLZF1	SEC16A
BLZF1	PKP2
BLZF1	FAM83B
BLZF1	BTBD3
PDIA5	UBL5
PLPPR1	PLPPR3
APEH	CAPN2
CHD1L	RNF146
ICE1	USPL1
ICE1	TC2N
ICE1	ICE2
PFAS	ROBO1
PFAS	SFPQ
SCIN	TMOD1
SCIN	TMOD2
ALAS1	DUSP19
ATF6B	RWDD2B
NXPH4	PDIA4
LAMC3	LMNA
DHX29	SERBP1
DHX29	NPM3
